id	yearBCAD
JinlianshanM15_4_4.SG	175
JinlianshanM15_4_4.SG	99
JinlianshanM15_4_4.SG	529
JinlianshanM15_4_6.AG	263
JinlianshanM15_4_6.AG	83
JinlianshanM15_4_6.AG	213
JinlianshanM15_4_7.AG	34
JinlianshanM15_4_7.AG	248
JinlianshanM15_4_7.AG	369
JinlianshanM15_4_8_LowCov.AG	257
JinlianshanM15_4_8_LowCov.AG	534
JinlianshanM15_4_8_LowCov.AG	248
JinlianshanM15_4_9.AG	-20
JinlianshanM15_4_9.AG	303
JinlianshanM15_4_9.AG	519
JinlianshanM15_5_1.AG.SG	107
JinlianshanM15_5_1.AG.SG	342
JinlianshanM15_5_1.AG.SG	-26
JinlianshanM15_5_1.AG	429
JinlianshanM15_5_1.AG	307
JinlianshanM15_5_1.AG	418
JinlianshanM15_5_1_sg.SG	354
JinlianshanM15_5_1_sg.SG	46
JinlianshanM15_5_1_sg.SG	119
JinlianshanM15_5_5.AG	490
JinlianshanM15_5_5.AG	-42
JinlianshanM15_5_5.AG	395
JinlianshanM15_5.AG.SG	534
JinlianshanM15_5.AG.SG	218
JinlianshanM15_5.AG.SG	37
JinlianshanM15_5.AG	359
JinlianshanM15_5.AG	431
JinlianshanM15_5.AG	161
JinlianshanM15_5_sg.SG	517
JinlianshanM15_5_sg.SG	26
JinlianshanM15_5_sg.SG	297
JinlianshanM22_LowCov.AG	520
JinlianshanM22_LowCov.AG	513
JinlianshanM22_LowCov.AG	298
JinlianshanM29_2_1.SG	251
JinlianshanM29_2_1.SG	491
JinlianshanM29_2_1.SG	448
JinlianshanM29_2_4.AG.SG	394
JinlianshanM29_2_4.AG.SG	508
JinlianshanM29_2_4.AG.SG	-23
JinlianshanM29_2_4.AG	301
JinlianshanM29_2_4.AG	234
JinlianshanM29_2_4.AG	462
JinlianshanM29_2_4_sg.SG	522
JinlianshanM29_2_4_sg.SG	403
